"Step","cnn_dr_0.9 - val acc","cnn_dr_0.9 - val acc__MIN","cnn_dr_0.9 - val acc__MAX","cnn_dr_0.8 - val acc","cnn_dr_0.8 - val acc__MIN","cnn_dr_0.8 - val acc__MAX","cnn_dr_0.7 - val acc","cnn_dr_0.7 - val acc__MIN","cnn_dr_0.7 - val acc__MAX","cnn_dr_0.6 - val acc","cnn_dr_0.6 - val acc__MIN","cnn_dr_0.6 - val acc__MAX","cnn_dr_0.5 - val acc","cnn_dr_0.5 - val acc__MIN","cnn_dr_0.5 - val acc__MAX","cnn_dr_0.4 - val acc","cnn_dr_0.4 - val acc__MIN","cnn_dr_0.4 - val acc__MAX","cnn_dr_0.3 - val acc","cnn_dr_0.3 - val acc__MIN","cnn_dr_0.3 - val acc__MAX","cnn_dr_0.2 - val acc","cnn_dr_0.2 - val acc__MIN","cnn_dr_0.2 - val acc__MAX","cnn_dr_0.1 - val acc","cnn_dr_0.1 - val acc__MIN","cnn_dr_0.1 - val acc__MAX"
"40","0.4408999866247177","0.4408999866247177","0.4408999866247177","0.6337999853491784","0.6337999853491784","0.6337999853491784","0.6935999882221222","0.6935999882221222","0.6935999882221222","0.7237999850511551","0.7237999850511551","0.7237999850511551","0.747099980711937","0.747099980711937","0.747099980711937","0.7523999834060668","0.7523999834060668","0.7523999834060668","0.7471999818086624","0.7471999818086624","0.7471999818086624","0.74859998524189","0.74859998524189","0.74859998524189","0.7500999802350998","0.7500999802350998","0.7500999802350998"
"41","0.4534999877214432","0.4534999877214432","0.4534999877214432","0.634299983382225","0.634299983382225","0.634299983382225","0.6939999848604202","0.6939999848604202","0.6939999848604202","0.7229999840259552","0.7229999840259552","0.7229999840259552","0.7518999820947647","0.7518999820947647","0.7518999820947647","0.752399982213974","0.752399982213974","0.752399982213974","0.7543999814987182","0.7543999814987182","0.7543999814987182","0.7431999826431275","0.7431999826431275","0.7431999826431275","0.7498999792337417","0.7498999792337417","0.7498999792337417"
"42","0.4680999878048897","0.4680999878048897","0.4680999878048897","0.63059998691082","0.63059998691082","0.63059998691082","0.6967999857664108","0.6967999857664108","0.6967999857664108","0.7240999805927276","0.7240999805927276","0.7240999805927276","0.7490999853610992","0.7490999853610992","0.7490999853610992","0.7522999817132949","0.7522999817132949","0.7522999817132949","0.752399976849556","0.752399976849556","0.752399976849556","0.7429999816417694","0.7429999816417694","0.7429999816417694","0.7488999825716018","0.7488999825716018","0.7488999825716018"
"43","0.4678999868035316","0.4678999868035316","0.4678999868035316","0.6311999845504761","0.6311999845504761","0.6311999845504761","0.7003999829292298","0.7003999829292298","0.7003999829292298","0.731599982380867","0.731599982380867","0.731599982380867","0.7443999850749969","0.7443999850749969","0.7443999850749969","0.7502999794483185","0.7502999794483185","0.7502999794483185","0.7515999847650527","0.7515999847650527","0.7515999847650527","0.7461999815702438","0.7461999815702438","0.7461999815702438","0.7408999848365784","0.7408999848365784","0.7408999848365784"
"44","0.46689998626708984","0.46689998626708984","0.46689998626708984","0.6334999877214432","0.6334999877214432","0.6334999877214432","0.697899980545044","0.697899980545044","0.697899980545044","0.7307999867200852","0.7307999867200852","0.7307999867200852","0.75049997985363","0.75049997985363","0.75049997985363","0.7499999809265137","0.7499999809265137","0.7499999809265137","0.7479999822378158","0.7479999822378158","0.7479999822378158","0.742299980521202","0.742299980521202","0.742299980521202","0.7446999818086624","0.7446999818086624","0.7446999818086624"
"45","0.46249998778104784","0.46249998778104784","0.46249998778104784","0.633199988603592","0.633199988603592","0.633199988603592","0.6985999858379364","0.6985999858379364","0.6985999858379364","0.7303999841213227","0.7303999841213227","0.7303999841213227","0.7466999840736389","0.7466999840736389","0.7466999840736389","0.7509999805688858","0.7509999805688858","0.7509999805688858","0.7526999819278717","0.7526999819278717","0.7526999819278717","0.7379999822378158","0.7379999822378158","0.7379999822378158","0.7467999821901321","0.7467999821901321","0.7467999821901321"
"46","0.4662999874353409","0.4662999874353409","0.4662999874353409","0.6385999849438667","0.6385999849438667","0.6385999849438667","0.6974999821186065","0.6974999821186065","0.6974999821186065","0.7217999821901322","0.7217999821901322","0.7217999821901322","0.7385999810695648","0.7385999810695648","0.7385999810695648","0.7463999831676483","0.7463999831676483","0.7463999831676483","0.7498999810218812","0.7498999810218812","0.7498999810218812","0.7455999809503555","0.7455999809503555","0.7455999809503555","0.7391999816894531","0.7391999816894531","0.7391999816894531"
"47","0.47569998770952227","0.47569998770952227","0.47569998770952227","0.6342999866604805","0.6342999866604805","0.6342999866604805","0.6991999822854996","0.6991999822854996","0.6991999822854996","0.7267999851703644","0.7267999851703644","0.7267999851703644","0.7490999835729599","0.7490999835729599","0.7490999835729599","0.7475999826192856","0.7475999826192856","0.7475999826192856","0.7496999824047088","0.7496999824047088","0.7496999824047088","0.745199983716011","0.745199983716011","0.745199983716011","0.7404999804496765","0.7404999804496765","0.7404999804496765"
"48","0.4610999873280525","0.4610999873280525","0.4610999873280525","0.6416999849677086","0.6416999849677086","0.6416999849677086","0.7013999837636947","0.7013999837636947","0.7013999837636947","0.7309999841451645","0.7309999841451645","0.7309999841451645","0.7434999823570252","0.7434999823570252","0.7434999823570252","0.7496999824047088","0.7496999824047088","0.7496999824047088","0.7489999788999557","0.7489999788999557","0.7489999788999557","0.7454999828338623","0.7454999828338623","0.7454999828338623","0.7455999809503555","0.7455999809503555","0.7455999809503555"
"49","0.4737999877333641","0.4737999877333641","0.4737999877333641","0.6422999867796898","0.6422999867796898","0.6422999867796898","0.7033999794721604","0.7033999794721604","0.7033999794721604","0.7335999792814255","0.7335999792814255","0.7335999792814255","0.7467999815940857","0.7467999815940857","0.7467999815940857","0.7490999817848205","0.7490999817848205","0.7490999817848205","0.7545999807119369","0.7545999807119369","0.7545999807119369","0.7438999795913697","0.7438999795913697","0.7438999795913697","0.7438999825716018","0.7438999825716018","0.7438999825716018"
