"Step","cnn_dr_0.9 - test acc","cnn_dr_0.9 - test acc__MIN","cnn_dr_0.9 - test acc__MAX","cnn_dr_0.8 - test acc","cnn_dr_0.8 - test acc__MIN","cnn_dr_0.8 - test acc__MAX","cnn_dr_0.7 - test acc","cnn_dr_0.7 - test acc__MIN","cnn_dr_0.7 - test acc__MAX","cnn_dr_0.6 - test acc","cnn_dr_0.6 - test acc__MIN","cnn_dr_0.6 - test acc__MAX","cnn_dr_0.5 - test acc","cnn_dr_0.5 - test acc__MIN","cnn_dr_0.5 - test acc__MAX","cnn_dr_0.4 - test acc","cnn_dr_0.4 - test acc__MIN","cnn_dr_0.4 - test acc__MAX","cnn_dr_0.3 - test acc","cnn_dr_0.3 - test acc__MIN","cnn_dr_0.3 - test acc__MAX","cnn_dr_0.2 - test acc","cnn_dr_0.2 - test acc__MIN","cnn_dr_0.2 - test acc__MAX","cnn_dr_0.1 - test acc","cnn_dr_0.1 - test acc__MIN","cnn_dr_0.1 - test acc__MAX"
"33","0.44959998697042464","0.44959998697042464","0.44959998697042464","0.6155999878048897","0.6155999878048897","0.6155999878048897","0.691499980688095","0.691499980688095","0.691499980688095","0.7216999816894532","0.7216999816894532","0.7216999816894532","0.7390999811887741","0.7390999811887741","0.7390999811887741","0.7433999806642533","0.7433999806642533","0.7433999806642533","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"34","0.45659998774528504","0.45659998774528504","0.45659998774528504","0.6210999882221222","0.6210999882221222","0.6210999882221222","0.691499980688095","0.691499980688095","0.691499980688095","0.7216999816894532","0.7216999816894532","0.7216999816894532","0.7390999811887741","0.7390999811887741","0.7390999811887741","0.7433999806642533","0.7433999806642533","0.7433999806642533","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"35","0.4585999873280525","0.4585999873280525","0.4585999873280525","0.6210999882221222","0.6210999882221222","0.6210999882221222","0.691499980688095","0.691499980688095","0.691499980688095","0.7216999816894532","0.7216999816894532","0.7216999816894532","0.7390999811887741","0.7390999811887741","0.7390999811887741","0.7433999806642533","0.7433999806642533","0.7433999806642533","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"36","0.4585999873280525","0.4585999873280525","0.4585999873280525","0.6210999882221222","0.6210999882221222","0.6210999882221222","0.691499980688095","0.691499980688095","0.691499980688095","0.7216999816894532","0.7216999816894532","0.7216999816894532","0.7390999811887741","0.7390999811887741","0.7390999811887741","0.7433999806642533","0.7433999806642533","0.7433999806642533","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"37","0.4585999873280525","0.4585999873280525","0.4585999873280525","0.6210999882221222","0.6210999882221222","0.6210999882221222","0.691499980688095","0.691499980688095","0.691499980688095","0.7216999816894532","0.7216999816894532","0.7216999816894532","0.7390999811887741","0.7390999811887741","0.7390999811887741","0.7433999806642533","0.7433999806642533","0.7433999806642533","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"38","0.4585999873280525","0.4585999873280525","0.4585999873280525","0.6213999891281128","0.6213999891281128","0.6213999891281128","0.6911999839544296","0.6911999839544296","0.6911999839544296","0.719299983382225","0.719299983382225","0.719299983382225","0.7390999811887741","0.7390999811887741","0.7390999811887741","0.7433999806642533","0.7433999806642533","0.7433999806642533","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"39","0.4585999873280525","0.4585999873280525","0.4585999873280525","0.6213999891281128","0.6213999891281128","0.6213999891281128","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.719299983382225","0.719299983382225","0.719299983382225","0.7390999811887741","0.7390999811887741","0.7390999811887741","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"40","0.4585999873280525","0.4585999873280525","0.4585999873280525","0.626199985742569","0.626199985742569","0.626199985742569","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.719299983382225","0.719299983382225","0.719299983382225","0.7390999811887741","0.7390999811887741","0.7390999811887741","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"41","0.4585999873280525","0.4585999873280525","0.4585999873280525","0.6294999861717224","0.6294999861717224","0.6294999861717224","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.719299983382225","0.719299983382225","0.719299983382225","0.7441999846696854","0.7441999846696854","0.7441999846696854","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"42","0.4759999898076057","0.4759999898076057","0.4759999898076057","0.6294999861717224","0.6294999861717224","0.6294999861717224","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.719299983382225","0.719299983382225","0.719299983382225","0.7441999846696854","0.7441999846696854","0.7441999846696854","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"43","0.4759999898076057","0.4759999898076057","0.4759999898076057","0.6294999861717224","0.6294999861717224","0.6294999861717224","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.7219999837875366","0.7219999837875366","0.7219999837875366","0.7441999846696854","0.7441999846696854","0.7441999846696854","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"44","0.4759999898076057","0.4759999898076057","0.4759999898076057","0.6294999861717224","0.6294999861717224","0.6294999861717224","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.7219999837875366","0.7219999837875366","0.7219999837875366","0.7441999846696854","0.7441999846696854","0.7441999846696854","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"45","0.4759999898076057","0.4759999898076057","0.4759999898076057","0.6294999861717224","0.6294999861717224","0.6294999861717224","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.7219999837875366","0.7219999837875366","0.7219999837875366","0.7441999846696854","0.7441999846696854","0.7441999846696854","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"46","0.4759999898076057","0.4759999898076057","0.4759999898076057","0.63299998909235","0.63299998909235","0.63299998909235","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.7219999837875366","0.7219999837875366","0.7219999837875366","0.7441999846696854","0.7441999846696854","0.7441999846696854","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"47","0.4791999891400337","0.4791999891400337","0.4791999891400337","0.63299998909235","0.63299998909235","0.63299998909235","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.7219999837875366","0.7219999837875366","0.7219999837875366","0.7441999846696854","0.7441999846696854","0.7441999846696854","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"48","0.4791999891400337","0.4791999891400337","0.4791999891400337","0.6312999880313873","0.6312999880313873","0.6312999880313873","0.6922999823093414","0.6922999823093414","0.6922999823093414","0.7219999837875366","0.7219999837875366","0.7219999837875366","0.7441999846696854","0.7441999846696854","0.7441999846696854","0.7461999821662902","0.7461999821662902","0.7461999821662902","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
