"Step","dr_0.9 - train acc","dr_0.9 - train acc__MIN","dr_0.9 - train acc__MAX","dr_0.8 - train acc","dr_0.8 - train acc__MIN","dr_0.8 - train acc__MAX","dr_0.7 - train acc","dr_0.7 - train acc__MIN","dr_0.7 - train acc__MAX","dr_0.6 - train acc","dr_0.6 - train acc__MIN","dr_0.6 - train acc__MAX","dr_0.5 - train acc","dr_0.5 - train acc__MIN","dr_0.5 - train acc__MAX","dr_0.4 - train acc","dr_0.4 - train acc__MIN","dr_0.4 - train acc__MAX","dr_0.3 - train acc","dr_0.3 - train acc__MIN","dr_0.3 - train acc__MAX","dr_0.2 - train acc","dr_0.2 - train acc__MIN","dr_0.2 - train acc__MAX","dr_0.1 - train acc","dr_0.1 - train acc__MIN","dr_0.1 - train acc__MAX"
"37","0.45982498809695244","0.45982498809695244","0.45982498809695244","0.5372249875962735","0.5372249875962735","0.5372249875962735","0.6051499869674444","0.6051499869674444","0.6051499869674444","0.6620249833166599","0.6620249833166599","0.6620249833166599","0.7154249815642834","0.7154249815642834","0.7154249815642834","0.7709249804913998","0.7709249804913998","0.7709249804913998","0.8144499792158604","0.8144499792158604","0.8144499792158604","0.8603499808907509","0.8603499808907509","0.8603499808907509","0.9040999814867974","0.9040999814867974","0.9040999814867974"
"38","0.4571249877661467","0.4571249877661467","0.4571249877661467","0.5405249857902527","0.5405249857902527","0.5405249857902527","0.6059499870985746","0.6059499870985746","0.6059499870985746","0.663274984061718","0.663274984061718","0.663274984061718","0.7225749818980693","0.7225749818980693","0.7225749818980693","0.7741749811172486","0.7741749811172486","0.7741749811172486","0.821924978941679","0.821924978941679","0.821924978941679","0.8642499803006649","0.8642499803006649","0.8642499803006649","0.9067749805748463","0.9067749805748463","0.9067749805748463"
"39","0.45644998863339425","0.45644998863339425","0.45644998863339425","0.5435749874264002","0.5435749874264002","0.5435749874264002","0.6118249875307084","0.6118249875307084","0.6118249875307084","0.6693999822437763","0.6693999822437763","0.6693999822437763","0.7253249822556973","0.7253249822556973","0.7253249822556973","0.7794749809801579","0.7794749809801579","0.7794749809801579","0.8223249804973602","0.8223249804973602","0.8223249804973602","0.8688749794661998","0.8688749794661998","0.8688749794661998","0.9095749813318252","0.9095749813318252","0.9095749813318252"
"40","0.456174988374114","0.456174988374114","0.456174988374114","0.5434749876707792","0.5434749876707792","0.5434749876707792","0.6102999871224165","0.6102999871224165","0.6102999871224165","0.6740249843895435","0.6740249843895435","0.6740249843895435","0.7295999827980996","0.7295999827980996","0.7295999827980996","0.7830749802291394","0.7830749802291394","0.7830749802291394","0.8271499782800674","0.8271499782800674","0.8271499782800674","0.8741249795258045","0.8741249795258045","0.8741249795258045","0.9074749800562859","0.9074749800562859","0.9074749800562859"
"41","0.4602999883890152","0.4602999883890152","0.4602999883890152","0.5498749873042107","0.5498749873042107","0.5498749873042107","0.6162999865412712","0.6162999865412712","0.6162999865412712","0.6745499843358993","0.6745499843358993","0.6745499843358993","0.7294999806582928","0.7294999806582928","0.7294999806582928","0.786024979352951","0.786024979352951","0.786024979352951","0.8320749798417091","0.8320749798417091","0.8320749798417091","0.8752749808132648","0.8752749808132648","0.8752749808132648","0.9160999797284604","0.9160999797284604","0.9160999797284604"
"42","0.46124998725950717","0.46124998725950717","0.46124998725950717","0.5478999867290258","0.5478999867290258","0.5478999867290258","0.6191499876976013","0.6191499876976013","0.6191499876976013","0.6820749823749065","0.6820749823749065","0.6820749823749065","0.7356499837338925","0.7356499837338925","0.7356499837338925","0.7902999795973301","0.7902999795973301","0.7902999795973301","0.8398999790847301","0.8398999790847301","0.8398999790847301","0.8831999798119068","0.8831999798119068","0.8831999798119068","0.9162999825179576","0.9162999825179576","0.9162999825179576"
"43","0.46277498714625837","0.46277498714625837","0.46277498714625837","0.5492249869555235","0.5492249869555235","0.5492249869555235","0.6203999868035317","0.6203999868035317","0.6203999868035317","0.6831999842822551","0.6831999842822551","0.6831999842822551","0.7436749821901322","0.7436749821901322","0.7436749821901322","0.7943749789893627","0.7943749789893627","0.7943749789893627","0.8400999788939952","0.8400999788939952","0.8400999788939952","0.8806249776482582","0.8806249776482582","0.8806249776482582","0.9164749820530415","0.9164749820530415","0.9164749820530415"
"44","0.46867498733103274","0.46867498733103274","0.46867498733103274","0.5566999868303537","0.5566999868303537","0.5566999868303537","0.625224987566471","0.625224987566471","0.625224987566471","0.6863249823451042","0.6863249823451042","0.6863249823451042","0.741174981892109","0.741174981892109","0.741174981892109","0.7968499791622162","0.7968499791622162","0.7968499791622162","0.845674978941679","0.845674978941679","0.845674978941679","0.883699981123209","0.883699981123209","0.883699981123209","0.9226499809324742","0.9226499809324742","0.9226499809324742"
"45","0.46814998842775823","0.46814998842775823","0.46814998842775823","0.5599999864399433","0.5599999864399433","0.5599999864399433","0.6245999870449305","0.6245999870449305","0.6245999870449305","0.6918749837577343","0.6918749837577343","0.6918749837577343","0.7470249824225903","0.7470249824225903","0.7470249824225903","0.8028749792277813","0.8028749792277813","0.8028749792277813","0.8508499793708324","0.8508499793708324","0.8508499793708324","0.884074981212616","0.884074981212616","0.884074981212616","0.9224249827861786","0.9224249827861786","0.9224249827861786"
"46","0.46154998742043973","0.46154998742043973","0.46154998742043973","0.560649987384677","0.560649987384677","0.560649987384677","0.6283999870717526","0.6283999870717526","0.6283999870717526","0.6946749825775623","0.6946749825775623","0.6946749825775623","0.7524499829113483","0.7524499829113483","0.7524499829113483","0.8045499783754348","0.8045499783754348","0.8045499783754348","0.8521999795734883","0.8521999795734883","0.8521999795734883","0.8904499796032905","0.8904499796032905","0.8904499796032905","0.9261749821901322","0.9261749821901322","0.9261749821901322"
"47","0.46747498735785487","0.46747498735785487","0.46747498735785487","0.5569249874353409","0.5569249874353409","0.5569249874353409","0.6316999857127666","0.6316999857127666","0.6316999857127666","0.6952249822020531","0.6952249822020531","0.6952249822020531","0.7556499816477299","0.7556499816477299","0.7556499816477299","0.8074999776482582","0.8074999776482582","0.8074999776482582","0.8556749790906906","0.8556749790906906","0.8556749790906906","0.8935499802231789","0.8935499802231789","0.8935499802231789","0.9280249810218811","0.9280249810218811","0.9280249810218811"
"48","0.47039998799562455","0.47039998799562455","0.47039998799562455","0.5604249885678292","0.5604249885678292","0.5604249885678292","0.636649985164404","0.636649985164404","0.636649985164404","0.7000499832630157","0.7000499832630157","0.7000499832630157","0.7579999808967114","0.7579999808967114","0.7579999808967114","0.8096249797940254","0.8096249797940254","0.8096249797940254","0.8599499809741974","0.8599499809741974","0.8599499809741974","0.8970999798178673","0.8970999798178673","0.8970999798178673","0.930174984484911","0.930174984484911","0.930174984484911"
"49","0.4729249875247479","0.4729249875247479","0.4729249875247479","0.5616749880462885","0.5616749880462885","0.5616749880462885","0.635349985063076","0.635349985063076","0.635349985063076","0.6994749838113785","0.6994749838113785","0.6994749838113785","0.7641999797523021","0.7641999797523021","0.7641999797523021","0.8171749776601791","0.8171749776601791","0.8171749776601791","0.8594749781489373","0.8594749781489373","0.8594749781489373","0.8986499810218811","0.8986499810218811","0.8986499810218811","0.931199981868267","0.931199981868267","0.931199981868267"
"50","0.4666749883443117","0.4666749883443117","0.4666749883443117","0.5679749872535467","0.5679749872535467","0.5679749872535467","0.639049983471632","0.639049983471632","0.639049983471632","0.7069249834120274","0.7069249834120274","0.7069249834120274","0.7654999813437462","0.7654999813437462","0.7654999813437462","0.8162499788403511","0.8162499788403511","0.8162499788403511","0.8618249785900116","0.8618249785900116","0.8618249785900116","0.9010249827802181","0.9010249827802181","0.9010249827802181","0.933524982482195","0.933524982482195","0.933524982482195"
