"Step","cnn_dr_0.9 - train acc","cnn_dr_0.9 - train acc__MIN","cnn_dr_0.9 - train acc__MAX","cnn_dr_0.8 - train acc","cnn_dr_0.8 - train acc__MIN","cnn_dr_0.8 - train acc__MAX","cnn_dr_0.7 - train acc","cnn_dr_0.7 - train acc__MIN","cnn_dr_0.7 - train acc__MAX","cnn_dr_0.6 - train acc","cnn_dr_0.6 - train acc__MIN","cnn_dr_0.6 - train acc__MAX","cnn_dr_0.5 - train acc","cnn_dr_0.5 - train acc__MIN","cnn_dr_0.5 - train acc__MAX","cnn_dr_0.4 - train acc","cnn_dr_0.4 - train acc__MIN","cnn_dr_0.4 - train acc__MAX","cnn_dr_0.3 - train acc","cnn_dr_0.3 - train acc__MIN","cnn_dr_0.3 - train acc__MAX","cnn_dr_0.2 - train acc","cnn_dr_0.2 - train acc__MIN","cnn_dr_0.2 - train acc__MAX","cnn_dr_0.1 - train acc","cnn_dr_0.1 - train acc__MIN","cnn_dr_0.1 - train acc__MAX"
"31","0.38189999040216205","0.38189999040216205","0.38189999040216205","0.5290749866515398","0.5290749866515398","0.5290749866515398","0.6227749869972468","0.6227749869972468","0.6227749869972468","0.6899499842524528","0.6899499842524528","0.6899499842524528","0.7518999814987183","0.7518999814987183","0.7518999814987183","0.8094749784469605","0.8094749784469605","0.8094749784469605","0.860249979943037","0.860249979943037","0.860249979943037","0.9137499816715717","0.9137499816715717","0.9137499816715717","0.9579749774932861","0.9579749774932861","0.9579749774932861"
"32","0.38264999017119405","0.38264999017119405","0.38264999017119405","0.5307499869912863","0.5307499869912863","0.5307499869912863","0.6221249866485595","0.6221249866485595","0.6221249866485595","0.6922249843180179","0.6922249843180179","0.6922249843180179","0.7557249811291694","0.7557249811291694","0.7557249811291694","0.810874978005886","0.810874978005886","0.810874978005886","0.8601749792695046","0.8601749792695046","0.8601749792695046","0.9162749803066254","0.9162749803066254","0.9162749803066254","0.9588499768078327","0.9588499768078327","0.9588499768078327"
"33","0.3837749900668859","0.3837749900668859","0.3837749900668859","0.5293499873578549","0.5293499873578549","0.5293499873578549","0.6242749851942062","0.6242749851942062","0.6242749851942062","0.6943749837577343","0.6943749837577343","0.6943749837577343","0.7577499818801879","0.7577499818801879","0.7577499818801879","0.8158999793231487","0.8158999793231487","0.8158999793231487","0.8647749795019627","0.8647749795019627","0.8647749795019627","0.919049981534481","0.919049981534481","0.919049981534481","0.9633749756217003","0.9633749756217003","0.9633749756217003"
"34","0.3850499899685383","0.3850499899685383","0.3850499899685383","0.5317749877274036","0.5317749877274036","0.5317749877274036","0.6271749878674746","0.6271749878674746","0.6271749878674746","0.6954749839007854","0.6954749839007854","0.6954749839007854","0.7545999811589718","0.7545999811589718","0.7545999811589718","0.813749980032444","0.813749980032444","0.813749980032444","0.8655249804258347","0.8655249804258347","0.8655249804258347","0.9209249816834927","0.9209249816834927","0.9209249816834927","0.9625499752163887","0.9625499752163887","0.9625499752163887"
"35","0.38849999006837604","0.38849999006837604","0.38849999006837604","0.5350249868631363","0.5350249868631363","0.5350249868631363","0.6284249845892191","0.6284249845892191","0.6284249845892191","0.6969999834895134","0.6969999834895134","0.6969999834895134","0.7606499822437763","0.7606499822437763","0.7606499822437763","0.8160999777913094","0.8160999777913094","0.8160999777913094","0.8702249804139137","0.8702249804139137","0.8702249804139137","0.9232249832153321","0.9232249832153321","0.9232249832153321","0.9652499735355378","0.9652499735355378","0.9652499735355378"
"36","0.3880999890714884","0.3880999890714884","0.3880999890714884","0.5365749873220921","0.5365749873220921","0.5365749873220921","0.6308749862015247","0.6308749862015247","0.6308749862015247","0.7021249838173389","0.7021249838173389","0.7021249838173389","0.7633999797701836","0.7633999797701836","0.7633999797701836","0.8207249788939953","0.8207249788939953","0.8207249788939953","0.872224979698658","0.872224979698658","0.872224979698658","0.9250999818742275","0.9250999818742275","0.9250999818742275","0.9658499743044376","0.9658499743044376","0.9658499743044376"
"37","0.3939749898016453","0.3939749898016453","0.3939749898016453","0.536474987193942","0.536474987193942","0.536474987193942","0.6325499863177538","0.6325499863177538","0.6325499863177538","0.701699982881546","0.701699982881546","0.701699982881546","0.7661499816179276","0.7661499816179276","0.7661499816179276","0.8202749791741372","0.8202749791741372","0.8202749791741372","0.8731999807059765","0.8731999807059765","0.8731999807059765","0.9261499834060669","0.9261499834060669","0.9261499834060669","0.9662749736011028","0.9662749736011028","0.9662749736011028"
"38","0.39204998917877676","0.39204998917877676","0.39204998917877676","0.5404749870300293","0.5404749870300293","0.5404749870300293","0.6315249855071307","0.6315249855071307","0.6315249855071307","0.7037499836087227","0.7037499836087227","0.7037499836087227","0.7667999793589115","0.7667999793589115","0.7667999793589115","0.8225999777019024","0.8225999777019024","0.8225999777019024","0.8762749820947647","0.8762749820947647","0.8762749820947647","0.9304499830305576","0.9304499830305576","0.9304499830305576","0.9671249744296074","0.9671249744296074","0.9671249744296074"
"39","0.39322498977184295","0.39322498977184295","0.39322498977184295","0.5398499866575003","0.5398499866575003","0.5398499866575003","0.6307249869406223","0.6307249869406223","0.6307249869406223","0.7058249834179878","0.7058249834179878","0.7058249834179878","0.7673999813199043","0.7673999813199043","0.7673999813199043","0.8251749801635743","0.8251749801635743","0.8251749801635743","0.8800749805569649","0.8800749805569649","0.8800749805569649","0.9315499839186668","0.9315499839186668","0.9315499839186668","0.9693499721586705","0.9693499721586705","0.9693499721586705"
"40","0.3941749902814627","0.3941749902814627","0.3941749902814627","0.5427249878644943","0.5427249878644943","0.5427249878644943","0.6340249862521887","0.6340249862521887","0.6340249862521887","0.7055249831080437","0.7055249831080437","0.7055249831080437","0.76922498062253","0.76922498062253","0.76922498062253","0.8264749790728092","0.8264749790728092","0.8264749790728092","0.8819249814748764","0.8819249814748764","0.8819249814748764","0.9299499829113483","0.9299499829113483","0.9299499829113483","0.9688499726355075","0.9688499726355075","0.9688499726355075"
"41","0.39752498984336854","0.39752498984336854","0.39752498984336854","0.5435249864310027","0.5435249864310027","0.5435249864310027","0.6358999851346016","0.6358999851346016","0.6358999851346016","0.7056499841809273","0.7056499841809273","0.7056499841809273","0.7711749801039696","0.7711749801039696","0.7711749801039696","0.8308999788761139","0.8308999788761139","0.8308999788761139","0.8825749814510345","0.8825749814510345","0.8825749814510345","0.9336999827623367","0.9336999827623367","0.9336999827623367","0.9693249706923962","0.9693249706923962","0.9693249706923962"
"42","0.3985499890893698","0.3985499890893698","0.3985499890893698","0.545024987384677","0.545024987384677","0.545024987384677","0.6407249850034714","0.6407249850034714","0.6407249850034714","0.7062499840557576","0.7062499840557576","0.7062499840557576","0.77379998087883","0.77379998087883","0.77379998087883","0.8306249785423279","0.8306249785423279","0.8306249785423279","0.8841999807953834","0.8841999807953834","0.8841999807953834","0.9355499829351902","0.9355499829351902","0.9355499829351902","0.9714999702572823","0.9714999702572823","0.9714999702572823"
"43","0.4000999893993139","0.4000999893993139","0.4000999893993139","0.5466499871015549","0.5466499871015549","0.5466499871015549","0.6421749845147133","0.6421749845147133","0.6421749845147133","0.7056499828398227","0.7056499828398227","0.7056499828398227","0.773224980533123","0.773224980533123","0.773224980533123","0.8351499783992767","0.8351499783992767","0.8351499783992767","0.8826499800384044","0.8826499800384044","0.8826499800384044","0.9360999834537506","0.9360999834537506","0.9360999834537506","0.9693499714136123","0.9693499714136123","0.9693499714136123"
